Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.39     0.00     1840     0.00     0.00  GfxApi_FontSize2
  0.00      2.39     0.00     1840     0.00     0.00  GfxApi_TextColor
  0.00      2.39     0.00     1676     0.00     0.00  GfxApi_FillSquare
  0.00      2.39     0.00     1676     0.00     0.00  GfxDrv_FillSquare
  0.00      2.39     0.00     1676     0.00     0.00  Render_PopClip
  0.00      2.39     0.00     1676     0.00     0.00  Render_PopState
  0.00      2.39     0.00     1676     0.00     0.00  Render_PushClip
  0.00      2.39     0.00     1676     0.00     0.00  Render_PushState
  0.00      2.39     0.00      333     0.00     0.00  GfxDev_Key_Event
  0.00      2.39     0.00      333     0.00     0.00  GfxDrv_MapKey
  0.00      2.39     0.00      333     0.00     0.00  chkmap
  0.00      2.39     0.00      333     0.00     0.00  keyb_handler
  0.00      2.39     0.00      316     0.00     0.00  Prim_Show
  0.00      2.39     0.00      300     0.00     0.00  Prim_Hide
  0.00      2.39     0.00      166     0.00     0.00  SYMGi
  0.00      2.39     0.00      164     0.00     0.00  GfxApi_FontSize
  0.00      2.39     0.00      164     0.00     0.00  GfxApi_Translate
  0.00      2.39     0.00      164     0.00     0.00  ObjSK_Frame
  0.00      2.39     0.00      164     0.00     0.00  ObjSK_RenderObject
  0.00      2.39     0.00      150     0.00     0.00  Obj3D_NewSprite
  0.00      2.39     0.00       67     0.00     0.00  UICon_ScrollUp
  0.00      2.39     0.00       63     0.00     0.00  GfxFont_FetchChar
  0.00      2.39     0.00       63     0.00     0.00  GfxFont_RenderCell
  0.00      2.39     0.00       58     0.00     0.00  GfxApi_WriteSShort
  0.00      2.39     0.00       33     0.00     0.00  Tex_AllocTexnum
  0.00      2.39     0.00       30     0.00     0.17  GfxApi_Texture
  0.00      2.39     0.00       30     0.00     0.00  GfxApi_WriteData
  0.00      2.39     0.00       30     0.00     0.00  GfxDev_WriteSLong
  0.00      2.39     0.00       30     0.00     0.00  Tex_GetModeinfo
  0.00      2.39     0.00       30     0.00     5.00  Tex_LoadTexture2
  0.00      2.39     0.00       29     0.00     5.86  Tex_LoadFileRaw
  0.00      2.39     0.00       22     0.00     0.00  UICon_IChar
  0.00      2.39     0.00        4     0.00     0.00  GfxFont_Register
  0.00      2.39     0.00        3     0.00     0.00  GfxDrv_AppActivate
  0.00      2.39     0.00        2     0.00     0.00  GfxFont_LoadFont
  0.00      2.39     0.00        2     0.00     0.00  Tex_Resample
  0.00      2.39     0.00        2     0.00     0.00  checkarg
  0.00      2.39     0.00        1     0.00     0.00  DevicesUI_Init
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_CenterWindow
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_GL_Init
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_Init
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_Start
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_VID_InitDIB
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_VID_SetWindowedMode
  0.00      2.39     0.00        1     0.00     0.00  GfxDrv_bSetupPixelFormat
  0.00      2.39     0.00        1     0.00     0.00  GfxFont_Init
  0.00      2.39     0.00        1     0.00     0.00  Gfxdev_Init
  0.00      2.39     0.00        1     0.00     0.00  IfDev_Init
  0.00      2.39     0.00        1     0.00     0.00  Mouse_Init
  0.00      2.39     0.00        1     0.00     0.00  Obj3D_Init
  0.00      2.39     0.00        1     0.00     0.00  Obj3D_PhysInit
  0.00      2.39     0.00        1     0.00     0.00  Obj3D_SkyInit
  0.00      2.39     0.00        1     0.00     0.00  Obj3D_SpriteInit
  0.00      2.39     0.00        1     0.00     0.00  Obj3D_TexInit
  0.00      2.39     0.00        1     0.00     0.00  ObjSK_Init
  0.00      2.39     0.00        1     0.00     0.00  Prim_Init
  0.00      2.39     0.00        1     0.00     0.00  Render3D_Init
  0.00      2.39     0.00        1     0.00     0.17  Render_Init
  0.00      2.39     0.00        1     0.00    37.21  Sky_LoadSky
  0.00      2.39     0.00        1     0.00     0.00  Tex_Init2
  0.00      2.39     0.00        1     0.00     0.00  UICon_Print
  0.00      2.39     0.00        1     0.00   827.03  WinMain@16

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.42% of 2.39 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     51.5    0.41    0.82                 gfxdev_write [1]
                0.38    0.44 3010767/3010767     gfxdev_opcode [5]
-----------------------------------------------
                0.00    0.83       1/1           main [3]
[2]     34.6    0.00    0.83       1         WinMain@16 [2]
                0.01    0.82    3887/3887        Render_Frame [4]
                0.00    0.00       1/1           Render_Init [86]
                0.00    0.00       2/2           checkarg [140]
                0.00    0.00       1/1           DevicesUI_Init [141]
-----------------------------------------------
                                                 <spontaneous>
[3]     34.6    0.00    0.83                 main [3]
                0.00    0.83       1/1           WinMain@16 [2]
-----------------------------------------------
                0.01    0.82    3887/3887        WinMain@16 [2]
[4]     34.6    0.01    0.82    3887         Render_Frame [4]
                0.00    0.77    3723/3723        Render3D_Frame [6]
                0.00    0.04    3887/3887        UICon_Draw [37]
                0.00    0.00    4051/5727        GfxApi_SetRange [74]
                0.00    0.00     328/2004        GfxApi_SetFont [80]
                0.00    0.00    3887/3887        GfxApi_BeginDrawing [87]
                0.00    0.00    3887/3887        GfxApi_EndDrawing [88]
                0.00    0.00     164/1840        GfxApi_TextColor [78]
                0.00    0.00     164/52120       GfxApi_Show [50]
                0.00    0.00     164/164         GfxApi_Translate [90]
                0.00    0.00     164/164         GfxApi_FontSize [89]
                0.00    0.00     164/52120       GfxApi_MoveTo [58]
                0.00    0.00     164/1840        GfxApi_FontSize2 [83]
                0.00    0.00    8922/41835       Render_PollKey [100]
                0.00    0.00    3887/3887        UICon_Think [110]
                0.00    0.00     164/164         ObjSK_Frame [124]
-----------------------------------------------
                0.38    0.44 3010767/3010767     gfxdev_write [1]
[5]     34.3    0.38    0.44 3010767         gfxdev_opcode [5]
                0.27    0.02 1753168/1753168     GfxFont_DrawChar [12]
                0.00    0.15      30/30          Tex_LoadTexture2 [23]
                0.00    0.00    5891/5891        GfxFont_SetFont [105]
                0.00    0.00    3887/3887        GfxDrv_BeginDrawing [108]
                0.00    0.00    3887/3887        GfxDrv_EndDrawing [109]
                0.00    0.00    3886/3886        GfxDev_Translate [111]
                0.00    0.00    3722/3722        GfxDev_SetPerspective_3D [112]
                0.00    0.00    1676/1676        GfxDrv_FillSquare [114]
                0.00    0.00      30/30          GfxDev_WriteSLong [133]
-----------------------------------------------
                0.00    0.77    3723/3723        Render_Frame [4]
[6]     32.4    0.00    0.77    3723         Render3D_Frame [6]
                0.00    0.72    3722/3722        Obj3D_RenderFrame [7]
                0.01    0.03    3722/3722        Sky_DrawSkyBox [36]
                0.01    0.00    7444/7444        GfxApi_Rotate3 [68]
                0.01    0.00    3722/3722        GfxApi_Perspective [69]
                0.00    0.00    3722/13130       GfxApi_Color [77]
                0.00    0.00    3722/3722        GfxApi_Translate3 [84]
                0.00    0.00    6272/78370       ObjSK_SetSlot [71]
                0.00    0.00   12544/3272105     ObjSK_GetSlot [34]
                0.00    0.00    3722/27350       GfxApi_PushMatrix [82]
                0.00    0.00    3722/27350       GfxApi_PopMatrix [81]
                0.00    0.00   32913/41835       Render_PollKey [100]
                0.00    0.00    2141/89847       ObjSK_Send [97]
-----------------------------------------------
                0.00    0.72    3722/3722        Render3D_Frame [6]
[7]     30.0    0.00    0.72    3722         Obj3D_RenderFrame [7]
                0.02    0.54    3722/3722        Obj3D_RenderObj <cycle 1> [9]
                0.00    0.16    3722/3722        Obj3D_RunPhys [20]
-----------------------------------------------
[8]     23.3    0.02    0.54    3722+9408    <cycle 1 as a whole> [8]
                0.02    0.53    9994+87680       Obj3D_RenderObj <cycle 1> [9]
-----------------------------------------------
                               87680             Obj3D_RenderObj <cycle 1> [9]
                                6272             Obj3D_RenderGroup <cycle 1> [75]
                0.02    0.54    3722/3722        Obj3D_RenderFrame [7]
[9]     23.1    0.02    0.53    9994+87680   Obj3D_RenderObj <cycle 1> [9]
                0.01    0.45   18816/18816       Prim_RenderPrimative [10]
                0.02    0.05   28160/28160       Obj3D_RenderSprite [30]
                0.00    0.00   43840/89847       ObjSK_Send [97]
                                3136             Obj3D_RenderGroup <cycle 1> [75]
                               87680             Obj3D_RenderObj <cycle 1> [9]
-----------------------------------------------
                0.01    0.45   18816/18816       Obj3D_RenderObj <cycle 1> [9]
[10]    19.4    0.01    0.45   18816         Prim_RenderPrimative [10]
                0.03    0.28    3136/3136        Prim_RenderSphere [11]
                0.00    0.07    6272/6272        Prim_RenderCylinder [29]
                0.01    0.04    9408/9408        Prim_RenderCube [35]
                0.01    0.01   18816/21952       GfxApi_TransformMatrixd [49]
                0.00    0.00   15680/43840       Obj3D_PushTexture [63]
                0.00    0.00   18816/27350       GfxApi_PushMatrix [82]
                0.00    0.00   18816/27350       GfxApi_PopMatrix [81]
                0.00    0.00   15680/43840       Obj3D_PopTexture [99]
-----------------------------------------------
                0.03    0.28    3136/3136        Prim_RenderPrimative [10]
[11]    13.0    0.03    0.28    3136         Prim_RenderSphere [11]
                0.07    0.11 1605632/2232832     Obj3D_Point [13]
                0.01    0.03  401408/586368      Obj3D_BindTexture [33]
                0.00    0.01  401408/605184      GfxApi_Begin [47]
                0.00    0.01  401408/605184      GfxApi_End [48]
                0.01    0.01  401408/586368      Obj3D_SelectTexture [54]
                0.00    0.01  401408/605184      GfxApi_UnbindTex [51]
-----------------------------------------------
                0.27    0.02 1753168/1753168     gfxdev_opcode [5]
[12]    12.1    0.27    0.02 1753168         GfxFont_DrawChar [12]
                0.02    0.00 1753168/1753168     GfxFont_FetchFrag [53]
-----------------------------------------------
                0.01    0.02  225792/2232832     Prim_RenderCube [35]
                0.02    0.03  401408/2232832     Prim_RenderCylinder [29]
                0.07    0.11 1605632/2232832     Prim_RenderSphere [11]
[13]    10.8    0.10    0.16 2232832         Obj3D_Point [13]
                0.03    0.13 2232832/2232832     Obj3D_MapST [21]
-----------------------------------------------
                0.00    0.04       6/29          Sky_LoadSky [40]
                0.00    0.14      23/29          Obj3D_Tex_Opts [25]
[14]     7.5    0.01    0.17      29         Obj3D_LoadImage [14]
                0.00    0.17      29/29          Tex_LoadFileRaw [16]
                0.00    0.00      29/30          GfxApi_Texture [70]
-----------------------------------------------
                0.17    0.00      29/29          Tex_LoadFileRaw [16]
[15]     7.1    0.17    0.00      29         Img_LoadTGA [15]
-----------------------------------------------
                0.00    0.17      29/29          Obj3D_LoadImage [14]
[16]     7.1    0.00    0.17      29         Tex_LoadFileRaw [16]
                0.17    0.00      29/29          Img_LoadTGA [15]
-----------------------------------------------
                               14297             Obj3D_MoveInner [17]
                0.00    0.01    3136/40704       Obj3D_MoveObj [60]
                0.00    0.15   37568/40704       Obj3D_DoMove [19]
[17]     6.9    0.00    0.17   40704+14297   Obj3D_MoveInner [17]
                0.02    0.14   55001/55001       Obj3D_CheckBlocked [18]
                0.00    0.00   43262/3272105     ObjSK_GetSlot [34]
                0.00    0.00    7194/7194        Obj3D_ObjBoxSlidePlane [85]
                0.00    0.00      98/78370       ObjSK_SetSlot [71]
                0.00    0.00      98/72098       Obj3D_WrapVec [98]
                               14297             Obj3D_MoveInner [17]
-----------------------------------------------
                0.02    0.14   55001/55001       Obj3D_MoveInner [17]
[18]     6.9    0.02    0.14   55001         Obj3D_CheckBlocked [18]
                0.10    0.04  725458/725458      Obj3D_ObjCollideBoxP [26]
                0.01    0.00  777255/3272105     ObjSK_GetSlot [34]
-----------------------------------------------
                0.00    0.16   43840/43840       Obj3D_RunPhys [20]
[19]     6.7    0.00    0.16   43840         Obj3D_DoMove [19]
                0.00    0.15   37568/40704       Obj3D_MoveInner [17]
                0.00    0.00   68864/78370       ObjSK_SetSlot [71]
                0.00    0.00  231680/3272105     ObjSK_GetSlot [34]
                0.00    0.00   68864/72098       Obj3D_WrapVec [98]
-----------------------------------------------
                0.00    0.16    3722/3722        Obj3D_RenderFrame [7]
[20]     6.7    0.00    0.16    3722         Obj3D_RunPhys [20]
                0.00    0.16   43840/43840       Obj3D_DoMove [19]
                0.00    0.00   43866/89847       ObjSK_Send [97]
-----------------------------------------------
                0.03    0.13 2232832/2232832     Obj3D_Point [13]
[21]     6.6    0.03    0.13 2232832         Obj3D_MapST [21]
                0.08    0.00 2157568/2157739     vecz [27]
                0.05    0.00 2232832/2819200     ELEM_OBJTYPEPi [31]
-----------------------------------------------
                0.15    0.00     232/232         Tex_LoadTexture2 [23]
[22]     6.3    0.15    0.00     232         Tex_HalfSample [22]
-----------------------------------------------
                0.00    0.15      30/30          gfxdev_opcode [5]
[23]     6.3    0.00    0.15      30         Tex_LoadTexture2 [23]
                0.15    0.00     232/232         Tex_HalfSample [22]
                0.00    0.00      30/33          Tex_AllocTexnum [131]
                0.00    0.00      30/30          Tex_GetModeinfo [134]
                0.00    0.00       2/2           Tex_Resample [139]
-----------------------------------------------
                                                 <spontaneous>
[24]     6.2    0.00    0.15                 Obj3D_Texture [24]
                0.01    0.14      23/23          Obj3D_Tex_Opts [25]
                0.00    0.00     171/2157739     vecz [27]
-----------------------------------------------
                0.01    0.14      23/23          Obj3D_Texture [24]
[25]     6.2    0.01    0.14      23         Obj3D_Tex_Opts [25]
                0.00    0.14      23/29          Obj3D_LoadImage [14]
-----------------------------------------------
                0.10    0.04  725458/725458      Obj3D_CheckBlocked [18]
